Time,Time Code,Country Name,Country Code,Control of Corruption: Estimate [CC.EST],Government Effectiveness: Estimate [GE.EST],Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Regulatory Quality: Estimate [RQ.EST],Rule of Law: Estimate [RL.EST]
2002,YR2002,Albania,ALB,-0.8453409075737,-0.624333381652832,-0.297719180583954,-0.311400771141052,-0.762321412563324
2002,YR2002,Andorra,AND,1.31074380874634,1.36772322654724,1.28276693820953,1.42246282100677,1.22384059429169
2002,YR2002,Armenia,ARM,-0.77816516160965,-0.0457692667841911,-0.255784124135971,0.0563336461782455,-0.438531368970871
2002,YR2002,Austria,AUT,1.91515922546387,1.88022816181183,1.35895538330078,1.5380562543869,1.85791265964508
2002,YR2002,Australia,AUS,1.76143634319305,1.65919864177704,1.18941462039948,1.42115557193756,1.76704657077789
2002,YR2002,Azerbaijan,AZE,-1.1955019235611,-0.985208630561829,-1.18536496162415,-0.731832385063171,-0.964197218418121
2002,YR2002,Belgium,BEL,1.45780158042908,1.91511082649231,1.26080238819122,1.25418055057526,1.34493565559387
2002,YR2002,Belarus,BLR,-0.657884895801544,-1.04380238056183,0.302805960178375,-1.39595544338226,-1.25031065940857
2002,YR2002,Bulgaria,BGR,-0.171931698918343,0.173596397042274,0.467512369155884,0.527679920196533,-0.0560499913990498
2002,YR2002,Bosnia and Herzegovina,BIH,-0.387543082237244,-1.07195007801056,-0.163837283849716,-0.607061386108398,-0.656005680561066
2002,YR2002,Croatia,HRV,0.225011631846428,0.328575700521469,0.628807723522186,0.294281095266342,-0.144792929291725
2002,YR2002,Cyprus,CYP,1.12628424167633,1.29533743858337,0.199420601129532,1.19338965415955,0.989593505859375
2002,YR2002,Denmark,DNK,2.31065106391907,2.0240433216095,1.5242440700531,1.71136832237244,1.88234078884125
2002,YR2002,Czechia,CZE,0.358057916164398,0.921997308731079,1.04410064220428,1.11261796951294,0.859825134277344
2002,YR2002,Finland,FIN,2.36900973320007,2.09640264511108,1.7531840801239,1.81565344333649,1.90388894081116
2002,YR2002,Estonia,EST,0.739191174507141,0.66788649559021,0.927854418754578,1.26314008235931,0.791837811470032
2002,YR2002,France,FRA,1.19158518314362,1.54408168792725,0.924183249473572,0.975888848304749,1.21287262439728
2002,YR2002,Georgia,GEO,-1.2641419172287,-0.712642133235931,-1.19204139709473,-0.736232042312622,-1.0840562582016
2002,YR2002,Germany,DEU,1.88874363899231,1.66001808643341,1.09601747989655,1.51094317436218,1.63438987731934
2002,YR2002,Greece,GRC,0.403180629014969,0.776045680046082,0.872591853141785,0.946032047271729,0.723845243453979
2002,YR2002,Hungary,HUN,0.574014663696289,0.991949141025543,1.26067221164703,1.25909173488617,0.868621826171875
2002,YR2002,Iceland,ISL,2.19461417198181,1.95681166648865,1.62029254436493,1.50557315349579,1.85915970802307
